t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z,u_1,u_2,u_3,u_4,jerk_x,jerk_y,jerk_z,snap_x,snap_y,snap_z
12.3,-8.166450015035872,-2.8764661578126827,12.832984660167021,0.9301353625480676,0.1228251906920049,0.07832453059680092,0.3370867066139481,-3.166676621078679,0.5022975933208773,-0.27799676537938467,-0.0862465529864214,0.3197632395113069,0.0002500401183239756,2.853667755857714,-2.193963017824707,2.148120265186293,-1.1983425584766463,0.42852413809104095,4.735494111146599e-05,2.5520488832419557,2.6126653258599997,2.443194475091968,2.382599888600591,2.2972931734699387,3.445793315126622,-0.303416600289097,-9.036999415457103,17.34456933633055,-12.340869837146329
12.32,-8.229209987497304,-2.866854604967438,12.827853908079422,0.929995936058236,0.1208195576946399,0.0810065584740022,0.3375620400427673,-3.1091551138610285,0.45912899766582527,-0.23511040454504695,-0.10997424762641317,0.32818864219312294,0.00025101111193112646,2.8978036486471126,-2.121621905990523,2.139599993622454,-1.1750211796766454,0.4140604067312703,4.980807316937175e-05,2.5493224122466844,2.607894794603865,2.4417218617450382,2.3831724677293202,2.116141896379986,3.7856977606054443,-0.5476364997036853,-9.078129004080893,16.64587441219112,-12.081120281948188
12.34,-8.290810929280568,-2.8580915344258453,12.82357887517807,0.929867044106594,0.11856593434438775,0.0836852890773655,0.3380623786959228,-3.0507871704539724,0.41747433176806403,-0.19244296843616837,-0.13326630813408621,0.336326676199006,0.0002520349217689233,2.938308289959224,-2.0426224442049445,2.1262472737682003,-1.1547258944709204,0.39976017817424103,5.263851661496677e-05,2.545597301475797,2.6021488254199285,2.4388457637237546,2.382318534479599,1.9341680079776324,4.111628305825121,-0.7866614293305929,-9.119257349254895,15.9471790883714,-11.821370549114363
12.36,-8.35123663894042,-2.8501453533901437,12.82015422297252,0.9297466652086582,0.1160689505272776,0.08635918150767595,0.3385871069993655,-2.9916455804066544,0.3774639678462588,-0.150090067021047,-0.15618049749353954,0.3441791791307955,0.00025311862875641855,2.9751652279941254,-1.9572441105086824,2.108166005481138,-1.1371851836733005,0.38548118932433817,5.580072867175656e-05,2.5409089432363285,2.595442683622179,2.4346198559314995,2.3801118697281116,1.751371561553583,4.423584953450188,-1.0204913625244671,-9.160383918072057,15.248484119823047,-11.561622770273061
12.38,-8.410472374112915,-2.8429819175138045,12.817572721552933,0.9296327363899743,0.11333271817640624,0.08902649849866864,0.33913559675725896,-2.9318034622985323,0.33922268855879345,-0.10814523227296036,-0.17876937521400785,0.35174519279494204,0.0002542694949396185,3.0083580113782205,-1.8657663829468873,2.0854600884590013,-1.1221497734361319,0.3710860688133477,5.9346045265529224e-05,2.5352946726951435,2.5877942914611376,2.429097301812709,2.3766250735291456,1.5677525411206261,4.721567697707485,-1.249126277969026,-9.201515638324054,14.549790083862035,-11.301874636160392
12.4,-8.468504858096015,-2.836564642692743,12.815825291149984,0.9295231538270438,0.11036089003347627,0.09168529689628885,0.3397072074352913,-2.8713342637423978,0.3028696870033709,-0.0666999181666128,-0.20108070074021642,0.3590210650199142,0.00025549522921922835,3.037870188133951,-1.7684687394670107,2.0582334224172882,-1.1093884613523952,0.35644256923852424,6.3292338058768e-05,2.5287933345391402,2.5792237975704952,2.4223309431699587,2.3719296919869373,1.383310911151625,5.0055765399292795,-1.4725662378367588,-9.242645226947843,13.851095115313683,-11.042124548055199
12.42,-8.525322286430313,-2.8308546168565174,12.814901043694757,0.9294157731213329,0.10715671460701912,0.09433341780661338,0.3403012863226173,-2.810311761386153,0.26851856671710195,-0.025843500685063248,-0.22315778569583003,0.3660005325064647,0.0002568038151739213,3.063685306727848,-1.6656306581142033,2.0265899071958415,-1.0986869265428245,0.3414215550381905,6.765695412386252e-05,2.5214452089901487,2.5697532260382223,2.4143731099034564,2.366096319141901,1.198046703621003,5.275611486332821,-1.690811204824172,-9.283774637935949,13.152399480631516,-10.782374992857058
12.44,-8.580914333479667,-2.8258107117595426,12.814787324378658,0.9293084093933437,0.10372308782138218,0.09696847630638744,0.34091716865894145,-2.748810060910145,0.23627734167752656,0.014336722185248618,-0.2450397985597294,0.37267477844890523,0.0002582044027480343,3.0857869153422257,-1.5575316169336162,1.9906334424213412,-1.0898448876973055,0.325897036337941,7.248952675065201e-05,2.5132916831017718,2.559406160106119,2.4052756980967502,2.359194677797055,1.0119599291869008,5.531672524483611,-1.903861182483979,-9.324900496210375,12.453704201220717,-10.522623128395026
12.46,-8.635272159011889,-2.821389694772299,12.815469753213296,0.9291988373260281,0.10006260189166949,0.09958785085048505,0.341554177807282,-2.6869035970280564,0.20624843630092649,0.053755530453436506,-0.2667620311562829,0.379032483979597,0.0002597070852935271,3.1041585626034873,-1.444451093939314,1.950467928146793,-1.0826745490130851,0.3097445767432816,7.788335994185491e-05,2.5043751366384317,2.548207405521767,2.3950900505073296,2.35129372779012,0.8250505647566797,5.773759664151612,-2.1117161761452508,-9.366030973012585,11.755009321490206,-10.262874994282356
12.48,-8.688388414779379,-2.8175463406725383,12.816932266590443,0.9290847912983613,0.0961775918396004,0.10218867232220212,0.34221162554045587,-2.624667133486547,0.1785286854435686,0.092329782123457,-0.2883561201123144,0.3850598685322575,0.00026132374649699003,3.1187837966761833,-1.3266685671409206,1.906197263821241,-1.0769981845061838,0.29284205645449535,8.391754648257033e-05,2.494738612731957,2.53618275581426,2.3838670768732513,2.342461664966249,0.6373185943431281,6.001872904448646,-2.3143761822552733,-9.407162870900265,11.056314352941854,-10.003124373270111
12.5,-8.740257251099827,-2.8142335434364902,12.819157158841875,0.9289639657123295,0.09207018003058774,0.10476781285650087,0.3428888125127768,-2.5621757630672093,0.15320933440130524,0.12997841319428716,-0.30985023696857245,0.39074072515194597,0.00026306792904547127,3.129646165778155,-1.2044635145658233,1.857925349462164,-1.072646643789893,0.27506903847721587,9.065812963116038e-05,2.4844256499879873,2.523358735064695,2.3716572077222935,2.3327659648592625,0.4487640641315238,6.2160122431542675,-2.511841195484976,-9.4482908608029,10.357619606438107,-9.743376772064494
12.52,-8.790874323436872,-2.8114024280300725,12.822125123799324,0.9288340156176194,0.08774231906805709,0.10732187446248324,0.3435850289783682,-2.4995049075835496,0.13037603890957428,0.16662243766099039,-0.33126925839287313,0.39605643871094653,0.00026495528870211504,3.136729218393697,-1.0781154142325278,1.8057560846251874,-1.0694590827566797,0.2563054289930866,9.825117288503327e-05,2.473480243065374,2.5097623905626594,2.358510203659251,2.322273402857144,0.2593869599110121,6.416177682044832,-2.7041112247161436,-9.489420449426689,9.658924948752201,-9.483626506323617
12.540000000000001,-8.840236798980765,-2.809002462200098,12.825815296354358,0.9286925577316617,0.08319583328577396,0.10984717746042812,0.34429955582557337,-2.4367303178822297,0.11010886514353224,0.20218494751294003,-0.3526349037597235,0.40098600870557427,0.00026700425108656944,3.1400165028472315,-0.9479037441328941,1.7497933691856815,-1.0672805157604992,0.23643257514694427,0.00010684051800907701,2.4619464997531817,2.4954210862236956,2.3444753139681485,2.3110500385059467,0.06918724970716994,6.602369218455806,-2.891186255737921,-9.530550393321846,8.960229447296797,-9.223876418218424
12.56,-8.888343363229023,-2.8069815682654826,12.830205294018302,0.9285371719274107,0.07843245910756796,0.11233974886619619,0.34503166598453805,-2.3739280738448443,0.09248228971769912,0.23659111273612865,-0.3739658490142334,0.40550607415548856,0.0002692359042050646,3.1394915673210733,-0.8141079823031916,1.6901411028769076,-1.0659614696409303,0.21533292005704863,0.00011656190294639934,2.4498685415201145,2.4803623530317935,2.32960117732813,2.2991611636178115,-0.12183503628193648,6.774586854163545,-3.07306630986659,-9.57167749504606,8.261533723796788,-8.964126863020283
12.58,-8.935194226567127,-2.805286234908451,12.835271258482129,0.9283654032641123,0.07345388443855214,0.11479531078685279,0.3457806262711946,-2.3111745843850784,0.07756519968649123,0.26976818130979296,-0.3952778338429486,0.40959092462474317,0.0002716747840348921,3.1351379603528073,-0.6770076067885711,1.6269031855031812,-1.0653576544474352,0.19288929453870618,0.00012766174084938298,2.4372904180364676,2.4646137308935545,2.3139356828578665,2.2866712908042484,-0.31367990338537766,6.932830587391692,-3.249751365785869,-9.612807794212586,7.5628387108395145,-8.704378018364878
12.6,-8.980791130849168,-2.803861628965748,12.840987897176376,0.9281747636375911,0.06826178899348195,0.11720927435301483,0.34654570018303626,-2.248546587392397,0.06542089254364392,0.301645479258994,-0.4165783637229115,0.4132194625759224,0.0002747111332654095,3.1269394155941654,-0.53688209561642,1.560183671340809,-1.0633041417297262,0.17157010575070686,0.00020021931265989945,2.4239230891772707,2.4482491547572782,2.297845090069159,2.273611433402687,-0.5062083214824042,7.077100421248872,-3.42112551443563,-9.602033301803203,6.86414454165174,-8.401348239317485
